Order|Family (Scientific)|Family (English)|Genus|Species (Scientific)|Authority|Species (English)|Breeding Range|Breeding Range-Subregion(s)|Nonbreeding Range
STRUTHIONIFORMES|Struthionidae|Ostriches|Struthio|camelus|Linnaeus, 1758|Common Ostrich|AF|w, c, e, sw|
STRUTHIONIFORMES|Struthionidae|Ostriches|Struthio|molybdophanes|Reichenow, 1883|Somali Ostrich|AF|extreme se S Sudan, s, e Ethiopia, Somalia, Djibouti and n, ec Kenya|
RHEIFORMES|Rheidae|Rheas|Rhea|americana|(Linnaeus, 1758)|Greater Rhea|SA|se|
RHEIFORMES|Rheidae|Rheas|Rhea|pennata|d'Orbigny, 1837|Lesser Rhea|SA|Southern Cone|
APTERYGIFORMES|Apterygidae|Kiwis|Apteryx|australis|Shaw, 1813|Southern Brown Kiwi|AU|sw South and Stewart Is. (New Zealand)|
APTERYGIFORMES|Apterygidae|Kiwis|Apteryx|mantelli|Bartlett, AD, 1852|North Island Brown Kiwi|AU|North I. (New Zealand)|
APTERYGIFORMES|Apterygidae|Kiwis|Apteryx|rowi|Tennyson, Palma, Robertson, HA, Worthy & Gill, BJ, 2003|Okarito Kiwi|AU|Okarito Forest (wc South I., New Zealand)|
APTERYGIFORMES|Apterygidae|Kiwis|Apteryx|owenii|Gould, 1847|Little Spotted Kiwi|AU|Kapiti I. (off sw North I.) and other predator-free satellites (New Zealand)|
APTERYGIFORMES|Apterygidae|Kiwis|Apteryx|haastii|Potts, 1872|Great Spotted Kiwi|AU|montane n South I. (New Zealand)|
CASUARIIFORMES|Casuariidae|Cassowaries, Emu|Casuarius|casuarius|(Linnaeus, 1758)|Southern Cassowary|AU|Aru Is. (sw of New Guinea), New Guinea and e Cape York Pen., ne QLD (ne Australia)|
CASUARIIFORMES|Casuariidae|Cassowaries, Emu|Casuarius|bennetti|Gould, 1857|Dwarf Cassowary|AU|Yapen (Geelvink Bay is., nw New Guinea), New Guinea and New Britain (se Bismarck Arch.)|
CASUARIIFORMES|Casuariidae|Cassowaries, Emu|Casuarius|unappendiculatus|Blyth, 1860|Northern Cassowary|AU|Salawati (Raja Ampat Is., nw of New Guinea), Yapen (Geelvink Bay is., nw New Guinea) and New Guinea|
CASUARIIFORMES|Casuariidae|Cassowaries, Emu|Dromaius|novaehollandiae|(Latham, 1790)|Emu|AU|Australia|
TINAMIFORMES|Tinamidae|Tinamous|Tinamus|tao|Temminck, 1815|Grey Tinamou|SA|Amazonia|
TINAMIFORMES|Tinamidae|Tinamous|Tinamus|solitarius|(Vieillot, 1819)|Solitary Tinamou|SA|e Brazil to ne Argentina and e Paraguay|
TINAMIFORMES|Tinamidae|Tinamous|Tinamus|osgoodi|Conover, 1949|Black Tinamou|SA|sc Colombia and se Peru|
TINAMIFORMES|Tinamidae|Tinamous|Tinamus|major|(Gmelin, JF, 1789)|Great Tinamou|MA, SA|s Mexico through Amazonia|
TINAMIFORMES|Tinamidae|Tinamous|Tinamus|guttatus|Pelzeln, 1863|White-throated Tinamou|SA|Amazonia|
TINAMIFORMES|Tinamidae|Tinamous|Nothocercus|bonapartei|(Gray, GR, 1867)|Highland Tinamou|MA, SA|Costa Rica to Peru|
TINAMIFORMES|Tinamidae|Tinamous|Nothocercus|julius|(Bonaparte, 1854)|Tawny-breasted Tinamou|SA|c Colombia and w Venezuela to sc Peru|
TINAMIFORMES|Tinamidae|Tinamous|Nothocercus|nigrocapillus|(Gray, GR, 1867)|Hooded Tinamou|SA|Peru and Bolivia|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|berlepschi|(Rothschild, 1897)|Berlepsch's Tinamou|SA|w Colombia and nw Ecuador|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|cinereus|(Gmelin, JF, 1789)|Cinereous Tinamou|SA|Amazonia|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|soui|(Hermann, 1783)|Little Tinamou|MA, SA|s Mexico to e Brazil|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|ptaritepui|Zimmer, JT & Phelps, WH, 1945|Tepui Tinamou|SA|Venezuela|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|obsoletus|(Temminck, 1815)|Brown Tinamou|SA|widespread|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|undulatus|(Temminck, 1815)|Undulated Tinamou|SA|Amazonia and sc|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|transfasciatus|(Sclater, PL & Salvin, 1878)|Pale-browed Tinamou|SA|w Ecuador and nw Peru|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|strigulosus|(Temminck, 1815)|Brazilian Tinamou|SA|e Peru and nw Bolivia through s Amazonian Brazil|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|duidae|Zimmer, JT, 1938|Grey-legged Tinamou|SA|ec Colombia to s Venezuela|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|erythropus|(Pelzeln, 1863)|Red-legged Tinamou|SA|n|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|noctivagus|(Wied-Neuwied, M, 1820)|Yellow-legged Tinamou|SA|e Brazil|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|atrocapillus|(Tschudi, 1844)|Black-capped Tinamou|SA|Peru and Bolivia|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|cinnamomeus|(Lesson, RP, 1842)|Thicket Tinamou|MA|wc Mexico to Costa Rica|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|boucardi|(Sclater, PL, 1860)|Slaty-breasted Tinamou|MA|s Mexico to Costa Rica|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|kerriae|(Chapman, 1915)|Choco Tinamou|MA, SA|se Panama and nw Colombia|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|variegatus|(Gmelin, JF, 1789)|Variegated Tinamou|SA|Amazonia and e Brazil|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|brevirostris|(Pelzeln, 1863)|Rusty Tinamou|SA|w, ne Amazonia|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|bartletti|(Sclater, PL & Salvin, 1873)|Bartlett's Tinamou|SA|w Amazonia|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|parvirostris|(Wagler, 1827)|Small-billed Tinamou|SA|se Peru and s Amazonian Brazil to ne Argentina|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|casiquiare|(Chapman, 1929)|Barred Tinamou|SA|e Colombia and s Venezuela|
TINAMIFORMES|Tinamidae|Tinamous|Crypturellus|tataupa|(Temminck, 1815)|Tataupa Tinamou|SA|e, se, sc|
TINAMIFORMES|Tinamidae|Tinamous|Rhynchotus|rufescens|(Temminck, 1815)|Red-winged Tinamou|SA|e, se, sc|
TINAMIFORMES|Tinamidae|Tinamous|Rhynchotus|maculicollis|Gray, GR, 1867|Huayco Tinamou|SA|nw Bolivia and nw Argentina|
TINAMIFORMES|Tinamidae|Tinamous|Nothoprocta|taczanowskii|Sclater, PL & Salvin, 1875|Taczanowski's Tinamou|SA|sc Peru|
TINAMIFORMES|Tinamidae|Tinamous|Nothoprocta|ornata|(Gray, GR, 1867)|Ornate Tinamou|SA|Peru to n Chile and nw Argentina|
TINAMIFORMES|Tinamidae|Tinamous|Nothoprocta|perdicaria|(Kittlitz, 1830)|Chilean Tinamou|SA|Chile|
TINAMIFORMES|Tinamidae|Tinamous|Nothoprocta|cinerascens|(Burmeister, 1860)|Brushland Tinamou|SA|Southern Cone|
TINAMIFORMES|Tinamidae|Tinamous|Nothoprocta|pentlandii|(Gray, GR, 1867)|Andean Tinamou|SA|Ecuador to c Argentina|
TINAMIFORMES|Tinamidae|Tinamous|Nothoprocta|curvirostris|Sclater, PL & Salvin, 1873|Curve-billed Tinamou|SA|Ecuador, Peru|
TINAMIFORMES|Tinamidae|Tinamous|Nothura|boraquira|(Spix, 1825)|White-bellied Nothura|SA|e Brazil to e Bolivia and ne Paraguay|
TINAMIFORMES|Tinamidae|Tinamous|Nothura|minor|(Spix, 1825)|Lesser Nothura|SA|se Brazil|
TINAMIFORMES|Tinamidae|Tinamous|Nothura|darwinii|Gray, GR, 1867|Darwin's Nothura|SA|Peru to sc Argentina|
TINAMIFORMES|Tinamidae|Tinamous|Nothura|maculosa|(Temminck, 1815)|Spotted Nothura|SA|se|
TINAMIFORMES|Tinamidae|Tinamous|Taoniscus|nanus|(Temminck, 1815)|Dwarf Tinamou|SA|se Brazil and ne Argentina|
TINAMIFORMES|Tinamidae|Tinamous|Eudromia|elegans|Geoffroy Saint-Hilaire, I, 1832|Elegant Crested Tinamou|SA|Southern Cone|
TINAMIFORMES|Tinamidae|Tinamous|Eudromia|formosa|(Lillo, 1905)|Quebracho Crested Tinamou|SA|Paraguay and n Argentina|
TINAMIFORMES|Tinamidae|Tinamous|Tinamotis|pentlandii|Vigors, 1837|Puna Tinamou|SA|sc Peru, n Bolivia, n Chile and nw Argentina|
TINAMIFORMES|Tinamidae|Tinamous|Tinamotis|ingoufi|Oustalet, 1890|Patagonian Tinamou|SA|s Chile and sw Argentina|
ANSERIFORMES|Anhimidae|Screamers|Anhima|cornuta|(Linnaeus, 1766)|Horned Screamer|SA|Colombia and Venezuela through Amazonia to Bolivia|
ANSERIFORMES|Anhimidae|Screamers|Chauna|chavaria|(Linnaeus, 1766)|Northern Screamer|SA|n Colombia and nw Venezuela|
ANSERIFORMES|Anhimidae|Screamers|Chauna|torquata|(Oken, 1816)|Southern Screamer|SA|se Peru and s Brazil to c Argentina|
ANSERIFORMES|Anseranatidae|Magpie Goose|Anseranas|semipalmata|(Latham, 1798)|Magpie Goose|AU|Trans-Fly (sc New Guinea) and ne WA to s VIC (n, e Australia)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Dendrocygna|viduata|(Linnaeus, 1766)|White-faced Whistling Duck|AF, SA|widespread|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Dendrocygna|autumnalis|(Linnaeus, 1758)|Black-bellied Whistling Duck|NA, MA, SA|se Texas to n Argentina|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Dendrocygna|guttata|Schlegel, 1866|Spotted Whistling Duck|OR, AU|Sulawesi region, n, c Moluccas, New Guinea, n Cape York Pen., ne QLD (ne Australia), Umboi (w of New Britain) and New Britain (se Bismarck Arch.)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Dendrocygna|arborea|(Linnaeus, 1758)|West Indian Whistling Duck|NA|West Indies|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Dendrocygna|bicolor|(Vieillot, 1816)|Fulvous Whistling Duck|NA, MA, SA, AF, OR|widespread|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Dendrocygna|eytoni|(Eyton, 1838)|Plumed Whistling Duck|AU|Australia (except sw, sc, Tasmania)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Dendrocygna|arcuata|(Horsfield, 1824)|Wandering Whistling Duck|OR, AU|Sumatra and Philippines to Australia, New Guinea, New Britain (se Bismarck Arch.) and Fiji (sw Polynesia)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Dendrocygna|javanica|(Horsfield, 1821)|Lesser Whistling Duck|OR|Pakistan to se China and Greater Sundas|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Thalassornis|leuconotus|Eyton, 1838|White-backed Duck|AF|widespread|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Cereopsis|novaehollandiae|Latham, 1801|Cape Barren Goose|AU|islands off s Australia|adjacent coast
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Branta|bernicla|(Linnaeus, 1758)|Brant Goose|NA, PAL|widespread|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Branta|ruficollis|(Pallas, 1769)|Red-breasted Goose|PAL|low Arctic tundra of Yamal, Gydan and Taymyr pens. (nw Siberia)|to w, s Black Sea and s Caspian Sea; prone to vagrancy elsewhere in Eurasia
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Branta|sandvicensis|(Vigors, 1834)|Nene|PO|Hawaiian Is.|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Branta|canadensis|(Linnaeus, 1758)|Canada Goose|NA|widespread|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Branta|leucopsis|(Bechstein, 1803)|Barnacle Goose|PAL|high Arctic e Greenland, Svalbard (n of Norway), Novaya Zemlya and nearby Kolguyev and Vaygach is. (nw Russia)|to coastal n British Is., s Scandinavia, and nw Europe
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Branta|hutchinsii|(Richardson, 1832)|Cackling Goose|NA|c Canada|to Texas and n Mexico
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anser|indicus|(Latham, 1790)|Bar-headed Goose|PAL|c Asia|n India
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anser|canagicus|(Sevastianov, 1802)|Emperor Goose|NA, PAL|w Alaska and ne Siberia|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anser|rossii|Cassin, 1861|Ross's Goose|NA|n Canada|s, w USA and n Mexico
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anser|caerulescens|(Linnaeus, 1758)|Snow Goose|NA|n|s, w USA and n Mexico
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anser|anser|(Linnaeus, 1758)|Greylag Goose|PAL|c, w|n OR
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anser|cygnoides|(Linnaeus, 1758)|Swan Goose|PAL|c Asia and Mongolia to se Siberia|se China
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anser|fabalis|(Latham, 1787)|Taiga Bean Goose|PAL|n|se China and c Europe
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anser|brachyrhynchus|Baillon, 1834|Pink-footed Goose|PAL|Greenland, Iceland and Svalbard|nw Europe
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anser|serrirostris|Gould, 1852|Tundra Bean Goose|PAL|n|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anser|albifrons|(Scopoli, 1769)|Greater White-fronted Goose|NA, MA, PAL|widespread|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anser|erythropus|(Linnaeus, 1758)|Lesser White-fronted Goose|PAL|n Eurasia|se Europe and e China
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Coscoroba|coscoroba|(Molina, 1782)|Coscoroba Swan|SA|Southern Cone|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Cygnus|atratus|(Latham, 1790)|Black Swan|AU|Australia (except n, sc), Tasmania, and North, South, Stewart and Chatham is. (New Zealand)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Cygnus|melancoryphus|(Molina, 1782)|Black-necked Swan|SA|Southern Cone|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Cygnus|olor|(Gmelin, JF, 1789)|Mute Swan|PAL|Europe to c Asia|n AF and India
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Cygnus|buccinator|Richardson, 1831|Trumpeter Swan|NA|Alaska, w Canada and nc USA|w Canada and nw, c USA
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Cygnus|columbianus|(Ord, 1815)|Tundra Swan|PAL, NA|n|s PAL and s, c NA
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Cygnus|cygnus|(Linnaeus, 1758)|Whooper Swan|PAL|n Eurasia|w Europe and e China
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Stictonetta|naevosa|(Gould, 1841)|Freckled Duck|AU|Australia (except n, sc, Tasmania)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Hymenolaimus|malacorhynchos|(Gmelin, JF, 1789)|Blue Duck|AU|c, s North and w South Is. (New Zealand)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Tachyeres|patachonicus|(King, PP, 1831)|Flying Steamer Duck|SA|s Chile, s Argentina and (perhaps) Falkland Is.|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Tachyeres|pteneres|(Forster, JR, 1844)|Fuegian Steamer Duck|SA|coastal s Chile and s Argentina|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Tachyeres|brachypterus|(Latham, 1790)|Falkland Steamer Duck|SA|Falkland Is.|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Tachyeres|leucocephalus|Humphrey & Thompson, 1981|Chubut Steamer Duck|SA|coastal nc to s Chubut Province (se Argentina)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Merganetta|armata|Gould, 1842|Torrent Duck|SA|Venezuela to c Chile and w Argentina|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Plectropterus|gambensis|(Linnaeus, 1766)|Spur-winged Goose|AF|widespread|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Sarkidiornis|sylvicola|Ihering, HFA & Ihering, R, 1907|Comb Duck|SA|n Colombia and Venezuela to n Argentina|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Sarkidiornis|melanotos|(Pennant, 1769)|Knob-billed Duck|AF, OR|Africa s of the Sahara and s, se Asia|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Cyanochen|cyanoptera|(Rüppell, 1845)|Blue-winged Goose|AF|montane Ethiopia|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Alopochen|aegyptiaca|(Linnaeus, 1766)|Egyptian Goose|AF|s Mauritania to s Egypt and Ethiopia s to South Africa|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Alopochen|mauritiana ††|(Newton, E & Gadow, 1893)|Mauritius Sheldgoose|IO|Mauritius (c Mascarenes)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Alopochen|kervazoi ††|(Cowles, 1994)|Reunion Sheldgoose|IO|Réunion (w Mascarenes)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Neochen|jubata|(Spix, 1825)|Orinoco Goose|SA|Amazonia to n Argentina|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Chloephaga|melanoptera|(Eyton, 1838)|Andean Goose|SA|Peru to s Chile and Argentina|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Chloephaga|picta|(Gmelin, JF, 1789)|Upland Goose|SA|Southern Cone|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Chloephaga|hybrida|(Molina, 1782)|Kelp Goose|SA|s|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Chloephaga|poliocephala|Sclater, PL, 1857|Ashy-headed Goose|SA|Southern Cone|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Chloephaga|rubidiceps|Sclater, PL, 1861|Ruddy-headed Goose|SA|s Chile, s Argentina and Falkland Is.|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Radjah|radjah|(Garnot & Lesson, RP, 1828)|Radjah Shelduck|AU|Moluccas, New Guinea and n Australia|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Tadorna|tadorna|(Linnaeus, 1758)|Common Shelduck|PAL, AF|w Europe to ne China|n AF, n India and s China
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Tadorna|ferruginea|(Pallas, 1764)|Ruddy Shelduck|PAL|s Europe to c Asia, nw Africa and Ethiopia|n AF, OR
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Tadorna|cana|(Gmelin, JF, 1789)|South African Shelduck|AF|Namibia, Botswana and South Africa|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Tadorna|tadornoides|(Jardine & Selby, 1828)|Australian Shelduck|AU|s Australia (except c) and Tasmania|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Tadorna|variegata|(Gmelin, JF, 1789)|Paradise Shelduck|AU|North, South, Stewart and satellites (New Zealand)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Tadorna|cristata †|(Kuroda, Nm, 1917)|Crested Shelduck|PAL|ne Asia|ne Siberia, Korean Pen., s Japan and ne China
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Malacorhynchus|membranaceus|(Latham, 1801)|Pink-eared Duck|AU|Australia (except far ne, sc, Tasmania)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Salvadorina|waigiuensis|Rothschild & Hartert, EJO, 1894|Salvadori's Teal|AU|montane New Guinea|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Cairina|moschata|(Linnaeus, 1758)|Muscovy Duck|NA, MA, SA|s Texas to n Argentina|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Asarcornis|scutulata|(Müller, S, 1842)|White-winged Duck|OR|ne India to se Asia and Sumatra (formerly Java)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Pteronetta|hartlaubii|(Cassin, 1860)|Hartlaub's Duck|AF|Sierra Leone to sw Uganda and n Angola|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Aix|sponsa|(Linnaeus, 1758)|Wood Duck|NA|widespread|s USA to n Mexico
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Aix|galericulata|(Linnaeus, 1758)|Mandarin Duck|PAL|se Siberia, Korean Pen., Japan and e China|se China
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Chenonetta|jubata|(Latham, 1801)|Maned Duck|AU|Australia (except n, sc)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Nettapus|auritus|(Boddaert, 1783)|African Pygmy Goose|AF|s of the Sahara|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Nettapus|coromandelianus|(Gmelin, JF, 1789)|Cotton Pygmy Goose|OR|widespread|AU
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Nettapus|pulchellus|Gould, 1842|Green Pygmy Goose|AU|e Lesser Sundas, s Moluccas, s New Guinea and ne WA to se QLD (n, e Australia)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Amazonetta|brasiliensis|(Gmelin, JF, 1789)|Brazilian Teal|SA|Amazonia and se|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Callonetta|leucophrys|(Vieillot, 1816)|Ringed Teal|SA|se Bolivia to se Brazil and Uruguay|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Lophonetta|specularioides|(King, PP, 1828)|Crested Duck|SA|s|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Speculanas|specularis|(King, PP, 1828)|Bronze-winged Duck|SA|s Chile and s Argentina|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Sibirionetta|formosa|(Georgi, 1775)|Baikal Teal|PAL|e Siberia|se China and Japan
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Spatula|querquedula|(Linnaeus, 1758)|Garganey|PAL|w Europe to Japan|w, c Africa and Asia to New Guinea
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Spatula|hottentota|(Eyton, 1838)|Blue-billed Teal|AF|Nigeria to Ethiopia and s to South Africa, Madagascar|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Spatula|puna|(Tschudi, 1844)|Puna Teal|SA|Peru to nw Argentina|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Spatula|versicolor|(Vieillot, 1816)|Silver Teal|SA|s|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Spatula|platalea|(Vieillot, 1816)|Red Shoveler|SA|s Peru, c Chile and s Brazil to Tierra del Fuego|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Spatula|cyanoptera|(Vieillot, 1816)|Cinnamon Teal|NA, MA, SA|w NA to s SA|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Spatula|discors|(Linnaeus, 1766)|Blue-winged Teal|NA|s Canada and USA|MA, n SA
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Spatula|smithii|Hartert, EJO, 1891|Cape Shoveler|AF|Namibia, Botswana and South Africa|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Spatula|rhynchotis|(Latham, 1801)|Australasian Shoveler|AU|s Australia, Tasmania and North and South Is. (New Zealand)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Spatula|clypeata|(Linnaeus, 1758)|Northern Shoveler|NA, PAL|widespread|MA, AF, OR
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Mareca|strepera|(Linnaeus, 1758)|Gadwall|NA, PAL|widespread|MA, AF, n OR
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Mareca|falcata|(Georgi, 1775)|Falcated Duck|PAL|Mongolia, e Siberia and ne China|n India to s, e China, s Korean Pen. and Japan
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Mareca|penelope|(Linnaeus, 1758)|Eurasian Wigeon|PAL|n Eurasia|AF and n OR
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Mareca|sibilatrix|(Poeppig, 1829)|Chiloe Wigeon|SA|Southern Cone|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Mareca|americana|(Gmelin, JF, 1789)|American Wigeon|NA|Alaska, Canada and n USA|MA
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Mareca|marecula ††|(Olson & Jouventin, 1996)|Amsterdam Wigeon|IO|Amsterdam I.|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anas|sparsa|Eyton, 1838|African Black Duck|AF|widespread|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anas|undulata|Dubois, CF, 1838|Yellow-billed Duck|AF|ec, sc, s|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anas|melleri|Sclater, PL, 1865|Meller's Duck|AF|montane e Madagascar (rare)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anas|superciliosa|Gmelin, JF, 1789|Pacific Black Duck|AU|widespread|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anas|laysanensis|Rothschild, 1892|Laysan Duck|PO|Laysan I.|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anas|wyvilliana|Sclater, PL, 1878|Hawaiian Duck|PO|Hawaiian Is.|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anas|luzonica|Fraser, 1839|Philippine Duck|OR|Philippines (except Sulu Arch.)|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anas|poecilorhyncha|Forster, JR, 1781|Indian Spot-billed Duck|OR|s, se Asia from Pakistan, s to Sri Lanka, e to Laos and n to sw Yunnan|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anas|zonorhyncha|Swinhoe, 1866|Eastern Spot-billed Duck|OR|China and se Asia|se Asia
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anas|platyrhynchos|Linnaeus, 1758|Mallard|NA, PAL|widespread|Mexico, n AF, AU and n OR
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anas|fulvigula|Ridgway, 1874|Mottled Duck|NA|sc, se|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anas|rubripes|Brewster, 1902|American Black Duck|NA|e Canada and ne USA|e USA
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anas|diazi|Ridgway, 1886|Mexican Duck|NA, MA|sw USA to n, c Mexico highlands|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anas|capensis|Gmelin, JF, 1789|Cape Teal|AF|Chad, Sudan and Ethiopia to South Africa|w AF
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anas|bahamensis|Linnaeus, 1758|White-cheeked Pintail|SA, NA|widespread in South America and Caribbean|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anas|erythrorhyncha|Gmelin, JF, 1789|Red-billed Teal|AF|s Sudan and Ethiopia to South Africa|
ANSERIFORMES|Anatidae|Ducks, Geese, Swans|Anas|georgica|Gmelin, JF, 1789|Yellow-billed Pintail|SA|w, s|
